county,lat,lon,population,water,grid,burden,subrgn,tier
05145,35.23428351975192,-91.76730165648247,77395.0,25.0,58.2,38.0,SRMV,Moderate
05147,35.18264263668995,-91.24389210322569,6157.0,95.0,58.2,31.7,SRMV,High
05149,35.104923112948754,-93.32930740602568,20195.0,5.0,58.2,49.4,SRMV,Elevated
06001,37.705910840642666,-122.09801565835284,1651949.0,25.0,8.4,62.6,CAMX,Elevated
06003,38.6217831,-119.7983522,1695.0,95.0,8.4,18.5,CAMX,High
06005,38.40012968144971,-120.76633537964376,41029.0,25.0,8.4,40.4,CAMX,Moderate
06007,39.663844100346125,-121.73446731452769,209470.0,75.0,8.4,60.0,CAMX,High
06009,38.16329307589305,-120.63463765521061,45995.0,75.0,8.4,35.6,CAMX,Elevated
06011,39.143930227010735,-122.10363606156828,21895.0,75.0,8.4,59.9,CAMX,High
06013,37.93407769972912,-122.02288259636964,1161458.0,25.0,8.4,56.2,CAMX,Moderate
06015,41.77540907441467,-124.14195685613284,27293.0,5.0,51.6,19.2,NWPP,Moderate
06017,38.737974940018425,-120.75239687383977,192299.0,50.0,8.4,30.9,CAMX,Moderate
06019,36.745471238849305,-119.76642413545618,1012152.0,95.0,8.4,81.2,CAMX,High
06021,39.660716184610266,-122.18785453732076,28623.0,75.0,8.4,64.4,CAMX,High
06023,40.74866211180863,-124.07037685877086,135418.0,5.0,8.4,40.0,CAMX,Moderate
06025,32.846052305949726,-115.54153441616899,179319.0,95.0,21.8,76.2,AZNM,High
06027,37.11998205682603,-118.13109139889893,18803.0,50.0,8.4,23.9,CAMX,Moderate
06029,35.36837940579802,-118.94288299180265,910433.0,95.0,8.4,78.3,CAMX,High
06031,36.248705634864244,-119.72093492008494,152830.0,95.0,8.4,77.4,CAMX,High
06033,38.983126790393165,-122.72728036890643,68139.0,50.0,8.4,49.3,CAMX,Elevated
06035,40.407272300240564,-120.53818129641782,31177.0,95.0,8.4,41.6,CAMX,High
06037,34.067981818991875,-118.24666093347003,9848406.0,95.0,8.4,82.0,CAMX,High
06039,37.03999116293344,-120.01570902359096,158790.0,95.0,8.4,78.8,CAMX,High
06041,37.98783519204452,-122.54809267534908,258765.0,50.0,8.4,31.0,CAMX,Moderate
06043,37.54776072621923,-119.93576786928595,17060.0,50.0,8.4,36.5,CAMX,Moderate
06045,39.284680275794024,-123.38982158820595,90709.0,50.0,8.4,34.0,CAMX,Moderate
06047,37.27520723241771,-120.63197236610274,285597.0,95.0,8.4,81.6,CAMX,High
06049,41.55644382453158,-120.66995532401471,8646.0,95.0,51.6,38.8,NWPP,High
06051,37.75107108661251,-118.89730549413572,13169.0,50.0,8.4,36.3,CAMX,Moderate
06053,36.61018115375052,-121.6385577622521,435834.0,95.0,8.4,55.7,CAMX,High
06055,38.328203567218345,-122.32041684476314,136070.0,50.0,8.4,49.6,CAMX,Elevated
06057,39.22427425567582,-120.8921897252158,102452.0,25.0,8.4,37.2,CAMX,Moderate
06059,33.732677534770424,-117.85828119020978,3164063.0,95.0,8.4,73.2,CAMX,High
06061,38.842828419903746,-121.20181169199222,412435.0,50.0,8.4,46.6,CAMX,Elevated
06063,40.002965853710414,-120.8229179952884,19607.0,25.0,8.4,37.0,CAMX,Moderate
06065,33.79829829611985,-117.07973329117284,2449909.0,95.0,8.4,70.7,CAMX,High
06067,38.56769494237993,-121.38076176119354,1584047.0,50.0,8.4,73.5,CAMX,Elevated
06069,36.8289374332536,-121.37982556777254,66056.0,25.0,8.4,55.7,CAMX,Moderate
06071,34.193622380824166,-117.35963398032212,2187816.0,95.0,8.4,79.4,CAMX,High
06073,32.885032962432845,-117.11172164490424,3282782.0,95.0,8.4,59.3,CAMX,High
06075,37.76035448489517,-122.43717696191472,836321.0,25.0,8.4,58.6,CAMX,Moderate
06077,37.92393267286962,-121.30254435153962,787416.0,75.0,8.4,78.6,CAMX,High
06079,35.34065745324884,-120.65946123061111,281486.0,75.0,8.4,30.6,CAMX,Elevated
06081,37.56494520907381,-122.3402202339572,745100.0,25.0,8.4,42.8,CAMX,Moderate
06083,34.64605058086649,-120.10193116360465,443975.0,95.0,8.4,48.0,CAMX,High
06085,37.314652849560474,-121.91052420906959,1903297.0,25.0,8.4,56.1,CAMX,Moderate
06087,36.986330035525775,-121.93686943628242,266021.0,25.0,8.4,39.4,CAMX,Moderate
06089,40.57829468595405,-122.29415221517283,181554.0,25.0,8.4,56.6,CAMX,Moderate
06091,39.5769252,-120.5219926,2731.0,25.0,8.4,46.1,CAMX,Moderate
06093,41.573261136777376,-122.50857867203239,43834.0,75.0,51.6,36.4,NWPP,Elevated
06095,38.23695635750181,-122.06643433658803,450824.0,50.0,8.4,64.8,CAMX,Elevated
